,country,points,price,variety,millesime
3,US,87,18.0,Riesling,2019.0
4,US,87,44.0,Pinot Noir,2018.0
10,US,87,23.0,Cabernet Sauvignon,2017.0
12,US,87,29.0,Cabernet Sauvignon,2018.0
14,US,87,18.0,Chardonnay,2018.0
15,Germany,87,22.0,Riesling,2019.0
20,US,87,23.0,Red Blend,2018.0
21,US,87,21.0,Pinot Noir,2019.0
23,US,87,24.0,Merlot,2017.0
25,US,87,51.0,Pinot Noir,2017.0
28,Italy,87,21.0,Red Blend,2017.0
33,US,86,41.0,Red Blend,2016.0
34,US,86,21.0,Sauvignon Blanc,2017.0
35,US,86,41.0,Pinot Noir,2016.0
37,Italy,86,23.0,Cabernet Sauvignon,2016.0
41,US,86,25.0,Pinot Noir,2015.0
43,US,86,18.0,Sauvignon Blanc,2017.0
44,Chile,86,15.0,Merlot,2017.0
45,US,86,35.0,Red Blend,2016.0
47,US,86,18.0,Riesling,2017.0
48,US,86,19.0,Sauvignon Blanc,2017.0
55,US,85,27.0,Chardonnay,2016.0
56,US,85,17.0,Chardonnay,2016.0
58,Chile,85,16.0,Pinot Noir,2017.0
60,US,86,54.0,Cabernet Sauvignon,2019.0
64,US,86,18.0,Sauvignon Blanc,2021.0
65,France,86,18.0,Chardonnay,2021.0
66,France,86,15.0,Chardonnay,2021.0
67,US,86,30.0,Bordeaux-style Red Blend,2019.0
68,US,86,15.0,Red Blend,2020.0
70,US,86,15.0,Chardonnay,2020.0
71,US,86,28.0,Cabernet Sauvignon,2019.0
73,US,86,43.0,Cabernet Sauvignon,2019.0
75,US,86,43.0,Bordeaux-style Red Blend,2019.0
76,Germany,86,13.0,Riesling,2021.0
77,Australia,86,15.0,Chardonnay,2022.0
78,US,86,18.0,Pinot Noir,2021.0
83,Australia,86,15.0,Rosé,2022.0
85,Germany,86,13.0,Riesling,2021.0
87,US,86,31.0,Merlot,2020.0
90,US,88,22.0,Red Blend,2020.0
97,US,88,20.0,Riesling,2021.0
99,US,88,46.0,Bordeaux-style Red Blend,2019.0
101,US,87,19.0,Riesling,2020.0
102,US,87,19.0,Riesling,2020.0
103,Chile,87,18.0,Chardonnay,2021.0
104,Italy,87,18.0,Red Blend,2020.0
106,Italy,87,23.0,Red Blend,2020.0
109,Italy,87,23.0,Red Blend,2020.0
111,US,87,49.0,Cabernet Sauvignon,2019.0
112,Italy,87,18.0,Red Blend,2020.0
114,US,87,21.0,Bordeaux-style Red Blend,2018.0
115,US,87,20.0,Chardonnay,2019.0
117,US,87,28.0,Syrah,2020.0
118,Italy,87,47.0,Red Blend,2019.0
119,France,92,100.0,Riesling,2010.0
121,US,92,50.0,Chardonnay,2013.0
124,US,92,60.0,Cabernet Sauvignon,2012.0
134,US,91,82.0,Cabernet Sauvignon,2013.0
136,France,91,72.0,Bordeaux-style Red Blend,2009.0
142,US,90,31.0,Riesling,2013.0
144,US,91,56.0,Cabernet Sauvignon,2019.0
145,US,91,47.0,Pinot Noir,2019.0
146,US,91,61.0,Cabernet Sauvignon,2016.0
147,US,91,53.0,Cabernet Sauvignon,2018.0
148,Germany,91,25.0,Riesling,2020.0
150,US,91,30.0,Cabernet Sauvignon,2019.0
152,US,91,46.0,Pinot Noir,2018.0
153,US,91,42.0,Syrah,2018.0
155,US,91,34.0,Syrah,2019.0
156,Germany,91,24.0,Riesling,2020.0
161,US,91,34.0,Red Blend,2019.0
162,US,91,29.0,Riesling,2020.0
164,Chile,91,33.0,Red Blend,2018.0
165,Chile,91,35.0,Cabernet Sauvignon,2018.0
168,US,91,66.0,Merlot,2018.0
169,US,91,35.0,Pinot Noir,2020.0
170,Germany,91,30.0,Riesling,2020.0
171,Germany,91,27.0,Riesling,2020.0
172,Chile,91,29.0,Cabernet Sauvignon,2018.0
173,US,91,33.0,Pinot Noir,2020.0
176,Chile,88,57.0,Red Blend,2012.0
178,US,88,37.0,Syrah,2011.0
179,France,88,37.0,Chardonnay,2012.0
180,US,88,34.0,Chardonnay,2012.0
181,US,88,45.0,Pinot Noir,2012.0
184,US,88,42.0,Chardonnay,2013.0
186,US,88,49.0,Pinot Noir,2012.0
187,Italy,88,65.0,Red Blend,2009.0
188,Chile,88,23.0,Merlot,2013.0
189,Chile,87,20.0,Chardonnay,2014.0
190,Italy,87,33.0,Red Blend,2013.0
191,Australia,87,38.0,Cabernet Sauvignon,2012.0
192,Italy,87,33.0,Red Blend,2009.0
193,France,87,43.0,Chardonnay,2012.0
198,US,90,43.0,Cabernet Sauvignon,2019.0
205,US,90,25.0,Chardonnay,2021.0
206,US,90,26.0,Cabernet Sauvignon,2020.0
213,US,90,35.0,Red Blend,2020.0
220,US,90,32.0,Chardonnay,2020.0
227,US,85,22.0,Pinot Noir,2012.0
228,US,85,21.0,Riesling,2012.0
229,US,85,25.0,Red Blend,2011.0
233,US,85,33.0,Pinot Noir,2012.0
235,US,85,51.0,Syrah,2012.0
236,US,85,94.0,Cabernet Sauvignon,2010.0
239,US,85,42.0,Cabernet Sauvignon,2011.0
242,US,85,21.0,Chardonnay,2013.0
243,US,85,42.0,Chardonnay,2008.0
244,Spain,85,19.0,Red Blend,2013.0
245,Argentina,85,18.0,Chardonnay,2013.0
246,Australia,85,22.0,Sauvignon Blanc,2012.0
247,US,85,34.0,Merlot,2010.0
248,US,85,48.0,Pinot Noir,2012.0
249,US,85,23.0,Bordeaux-style Red Blend,2013.0
250,US,85,54.0,Cabernet Sauvignon,2011.0
251,US,85,28.0,Pinot Noir,2012.0
255,US,89,53.0,Pinot Noir,2015.0
260,US,89,43.0,Pinot Noir,2015.0
261,Argentina,89,43.0,Red Blend,2014.0
262,US,89,45.0,Red Blend,2014.0
263,US,89,57.0,Pinot Noir,2015.0
266,Argentina,89,26.0,Red Blend,2014.0
273,Argentina,89,31.0,Red Blend,2013.0
275,Argentina,89,36.0,Cabernet Sauvignon,2015.0
277,US,89,34.0,Cabernet Sauvignon,2016.0
278,US,89,50.0,Pinot Noir,2015.0
281,US,92,40.0,Pinot Noir,2017.0
282,Italy,92,49.0,Red Blend,2015.0
283,US,92,50.0,Pinot Noir,2017.0
286,US,92,54.0,Pinot Noir,2017.0
289,US,92,99.0,Cabernet Sauvignon,2016.0
296,Chile,87,27.0,Cabernet Sauvignon,2014.0
297,US,87,23.0,Cabernet Sauvignon,2014.0
298,Chile,87,25.0,Cabernet Sauvignon,2015.0
301,US,87,22.0,Chardonnay,2015.0
307,France,87,33.0,Pinot Noir,2015.0
312,US,87,42.0,Cabernet Sauvignon,2014.0
314,US,87,33.0,Cabernet Sauvignon,2014.0
318,Chile,86,25.0,Merlot,2013.0
323,Chile,86,41.0,Cabernet Sauvignon,2012.0
327,Chile,86,25.0,Chardonnay,2013.0
330,US,86,45.0,Red Blend,2012.0
336,Chile,83,16.0,Pinot Noir,2021.0
337,France,83,10.0,Rosé,2021.0
338,France,82,7.0,Rosé,2021.0
343,Chile,81,14.0,Pinot Noir,2016.0
344,Chile,80,6.0,Chardonnay,2021.0
347,Germany,97,320.0,Riesling,2020.0
352,US,96,53.0,Chardonnay,2020.0
353,France,96,263.0,Chardonnay,2020.0
354,Germany,96,164.0,Riesling,2020.0
355,US,96,53.0,Chardonnay,2020.0
357,France,95,179.0,Pinot Noir,2019.0
358,Germany,95,63.0,Riesling,2017.0
359,France,95,67.0,Chardonnay,2020.0
362,US,95,126.0,Cabernet Sauvignon,2018.0
363,France,95,168.0,Chardonnay,2020.0
364,US,95,44.0,Pinot Noir,2020.0
369,Italy,88,41.0,Chardonnay,2005.0
370,US,88,238.0,Cabernet Sauvignon,1997.0
371,Italy,88,39.0,Sauvignon Blanc,2008.0
373,Italy,88,30.0,Sauvignon Blanc,2008.0
374,US,88,36.0,Sauvignon Blanc,2007.0
380,Chile,88,27.0,Merlot,2008.0
382,Chile,88,32.0,Cabernet Sauvignon,2006.0
383,Italy,88,24.0,Chardonnay,2007.0
385,US,88,35.0,Sauvignon Blanc,2007.0
386,US,88,56.0,Merlot,2006.0
387,US,88,35.0,Sauvignon Blanc,2006.0
388,US,88,46.0,Pinot Noir,2005.0
390,Chile,88,28.0,Cabernet Sauvignon,2007.0
391,Chile,88,30.0,Chardonnay,2007.0
392,US,87,27.0,Sauvignon Blanc,2006.0
393,Chile,87,24.0,Chardonnay,2008.0
394,Chile,87,26.0,Merlot,2007.0
397,Chile,85,20.0,Pinot Noir,2014.0
398,Chile,85,18.0,Sauvignon Blanc,2014.0
402,Chile,85,17.0,Syrah,2013.0
403,US,85,23.0,Red Blend,2011.0
404,US,85,51.0,Syrah,2011.0
407,Chile,85,20.0,Chardonnay,2013.0
411,US,85,19.0,Cabernet Sauvignon,2012.0
415,US,85,20.0,Riesling,2013.0
419,France,89,27.0,Bordeaux-style Red Blend,2017.0
421,US,89,28.0,Merlot,2019.0
425,US,89,21.0,Rosé,2021.0
429,US,89,34.0,Syrah,2019.0
430,US,89,27.0,Sauvignon Blanc,2020.0
432,US,89,21.0,Riesling,2020.0
437,US,89,42.0,Bordeaux-style Red Blend,2018.0
440,US,89,32.0,Cabernet Sauvignon,2019.0
446,US,88,21.0,Cabernet Sauvignon,2020.0
449,Italy,92,55.0,Chardonnay,2012.0
455,US,92,43.0,Chardonnay,2017.0
457,US,92,46.0,Pinot Noir,2017.0
460,US,92,49.0,Pinot Noir,2017.0
462,France,92,62.0,Chardonnay,2016.0
464,Germany,92,85.0,Riesling,2017.0
465,Italy,92,72.0,Red Blend,2014.0
467,US,92,61.0,Pinot Noir,2016.0
468,Germany,92,44.0,Riesling,2017.0
469,Germany,92,36.0,Riesling,2017.0
471,France,92,66.0,Pinot Noir,2016.0
472,France,92,65.0,Pinot Noir,2016.0
475,US,92,110.0,Cabernet Sauvignon,2015.0
476,US,92,81.0,Red Blend,2015.0
477,France,92,61.0,Bordeaux-style Red Blend,2016.0
480,US,87,43.0,Bordeaux-style Red Blend,2015.0
482,US,87,49.0,Pinot Noir,2016.0
486,US,87,20.0,Cabernet Sauvignon,2016.0
493,US,87,36.0,Red Blend,2015.0
494,US,87,19.0,Chardonnay,2017.0
495,US,87,23.0,Chardonnay,2016.0
498,US,87,23.0,Pinot Noir,2016.0
499,France,87,23.0,Rosé,2017.0
500,Spain,87,18.0,Rosé,2017.0
503,US,87,23.0,Sauvignon Blanc,2017.0
507,US,87,31.0,Syrah,2015.0
509,US,91,43.0,Red Blend,2020.0
510,US,91,37.0,Chardonnay,2020.0
513,US,91,58.0,Cabernet Sauvignon,2019.0
514,Chile,91,36.0,Merlot,2018.0
515,US,91,47.0,Pinot Noir,2020.0
516,US,91,39.0,Pinot Noir,2020.0
517,US,91,39.0,Pinot Noir,2020.0
518,France,91,41.0,Pinot Noir,2020.0
522,US,91,39.0,Pinot Noir,2020.0
523,US,91,39.0,Pinot Noir,2021.0
524,US,91,32.0,Syrah,2020.0
525,US,91,34.0,Chardonnay,2021.0
526,US,91,39.0,Pinot Noir,2020.0
529,US,91,36.0,Pinot Noir,2020.0
530,Chile,91,29.0,Syrah,2019.0
532,US,91,34.0,Pinot Noir,2021.0
533,US,91,34.0,Pinot Noir,2021.0
534,US,91,33.0,Cabernet Sauvignon,2020.0
535,Germany,91,26.0,Riesling,2021.0
536,US,91,41.0,Bordeaux-style Red Blend,2019.0
537,US,91,74.0,Cabernet Sauvignon,2018.0
538,US,91,36.0,Pinot Noir,2020.0
539,US,93,38.0,Pinot Noir,2020.0
540,US,93,52.0,Pinot Noir,2018.0
541,US,93,43.0,Pinot Noir,2018.0
543,US,93,55.0,Cabernet Sauvignon,2019.0
544,US,93,46.0,Red Blend,2019.0
545,US,93,65.0,Cabernet Sauvignon,2018.0
546,US,93,41.0,Chardonnay,2020.0
548,US,93,59.0,Pinot Noir,2019.0
550,US,93,35.0,Chardonnay,2020.0
552,France,93,28.0,Rosé,2021.0
554,France,93,35.0,Rosé,2021.0
555,US,93,55.0,Cabernet Sauvignon,2019.0
557,US,93,40.0,Pinot Noir,2019.0
560,US,93,42.0,Syrah,2019.0
561,US,93,41.0,Pinot Noir,2020.0
563,US,93,46.0,Pinot Noir,2018.0
564,US,93,49.0,Syrah,2019.0
565,US,93,78.0,Red Blend,2017.0
566,US,93,45.0,Cabernet Sauvignon,2019.0
568,US,93,57.0,Cabernet Sauvignon,2018.0
569,US,89,30.0,Chardonnay,2020.0
570,US,89,31.0,Syrah,2021.0
573,France,89,20.0,Bordeaux-style Red Blend,2021.0
574,France,89,18.0,Rosé,2022.0
575,France,89,20.0,Bordeaux-style Red Blend,2021.0
576,France,89,29.0,Bordeaux-style Red Blend,2020.0
577,US,89,20.0,Rosé,2022.0
578,France,89,20.0,Bordeaux-style Red Blend,2021.0
579,US,89,19.0,Rosé,2022.0
582,US,89,23.0,Merlot,2019.0
583,US,89,27.0,Pinot Noir,2020.0
585,US,89,22.0,Chardonnay,2022.0
587,Austria,89,20.0,Sauvignon Blanc,2022.0
588,US,89,21.0,Chardonnay,2021.0
590,US,89,20.0,Chardonnay,2022.0
593,Austria,89,19.0,Riesling,2022.0
595,US,89,27.0,Cabernet Sauvignon,2020.0
597,Austria,89,21.0,Riesling,2022.0
599,US,87,24.0,Cabernet Sauvignon,2016.0
602,US,87,55.0,Cabernet Sauvignon,2016.0
604,Spain,87,38.0,Red Blend,2014.0
605,Argentina,87,33.0,Red Blend,2015.0
610,US,87,20.0,Sauvignon Blanc,2018.0
611,US,87,46.0,Pinot Noir,2016.0
616,US,87,37.0,Chardonnay,2017.0
618,US,87,36.0,Merlot,2015.0
621,US,87,29.0,Pinot Noir,2016.0
622,US,87,29.0,Red Blend,2015.0
623,US,87,29.0,Red Blend,2016.0
624,US,87,24.0,Red Blend,2016.0
629,US,92,53.0,Pinot Noir,2019.0
630,US,92,41.0,Pinot Noir,2019.0
632,France,92,35.0,Riesling,2019.0
638,France,92,43.0,Riesling,2016.0
640,US,92,34.0,Chardonnay,2020.0
643,US,92,50.0,Chardonnay,2018.0
644,US,92,38.0,Cabernet Sauvignon,2019.0
645,US,92,39.0,Pinot Noir,2020.0
648,Germany,92,33.0,Riesling,2020.0
649,US,92,53.0,Cabernet Sauvignon,2019.0
651,France,92,35.0,Riesling,2020.0
652,Australia,92,28.0,Riesling,2020.0
654,France,92,37.0,Riesling,2020.0
656,US,92,51.0,Pinot Noir,2019.0
658,US,90,34.0,Chardonnay,2019.0
659,US,90,40.0,Cabernet Sauvignon,2018.0
660,US,90,57.0,Cabernet Sauvignon,2018.0
663,US,90,50.0,Cabernet Sauvignon,2018.0
666,US,90,24.0,Riesling,2020.0
668,US,90,27.0,Riesling,2020.0
670,US,90,23.0,Cabernet Sauvignon,2019.0
672,US,90,27.0,Riesling,2020.0
673,US,90,36.0,Pinot Noir,2019.0
674,US,90,36.0,Cabernet Sauvignon,2018.0
675,US,90,29.0,Pinot Noir,2019.0
676,US,90,33.0,Chardonnay,2018.0
677,Italy,90,45.0,Syrah,2017.0
678,Italy,90,34.0,Syrah,2018.0
679,US,90,34.0,Cabernet Sauvignon,2018.0
681,US,90,41.0,Syrah,2017.0
683,Italy,90,61.0,Red Blend,2016.0
684,US,90,32.0,Cabernet Sauvignon,2018.0
685,US,90,54.0,Pinot Noir,2018.0
687,US,90,32.0,Chardonnay,2018.0
688,US,91,69.0,Cabernet Sauvignon,2017.0
689,US,91,36.0,Red Blend,2018.0
690,Austria,91,34.0,Red Blend,2019.0
692,Italy,91,36.0,Red Blend,2018.0
695,Italy,91,46.0,Red Blend,2016.0
698,US,91,29.0,Bordeaux-style Red Blend,2018.0
701,France,91,47.0,Rosé,2019.0
702,France,91,25.0,Rosé,2020.0
704,France,91,26.0,Rosé,2020.0
706,France,91,26.0,Rosé,2020.0
707,France,91,26.0,Rosé,2020.0
708,France,91,28.0,Rosé,2020.0
